#name	chrom	txStart	txEnd	name2
NM_182066	chrI	8378304	8390028	T19A6.1
NM_059873	chrI	8378304	8390018	T19A6.1
NM_001129046	chrI	8378304	8390028	T19A6.1
NM_058924	chrI	4193247	4203171	snrp-40.2
NM_058707	chrI	3144520	3147784	lpd-6
NM_001136303	chrI	7339231	7345684	glb-18
NM_001263229	chrI	6289432	6293855	C10G11.6
NM_001263230	chrI	6290322	6293855	C10G11.6
NR_052112	chrI	13616784	13703201	Y39A3CR.10
NM_061147	chrI	14675706	14682563	Y105E8B.9
NM_060987	chrI	13629232	13633270	unc-59
NM_060788	chrI	12582240	12583299	F33E2.4
NM_060545	chrI	11527076	11557792	dys-1
NM_060106	chrI	9435464	9440765	C17E4.10
NM_001306315	chrI	11527076	11546567	dys-1
NM_001306314	chrI	11527076	11552106	dys-1
NM_001306313	chrI	11527076	11557792	dys-1
NM_001306312	chrI	11527076	11541127	dys-1
NM_001306311	chrI	11527076	11546567	dys-1
NM_001306310	chrI	11527076	11552106	dys-1
NR_070304	chrI	14597690	14806627	F31D4.11
NR_070303	chrI	14597690	14806627	F31D4.10
NR_051858	chrI	742217	943301	W02B8.11
NM_058280	chrI	127296	133582	mex-3
NM_058364	chrI	654127	658644	Y65B4A.1
NM_001261919	chrI	388794	394411	R119.5
NM_001261918	chrI	388794	394411	R119.5
NM_001129087	chrI	912440	926877	Y95B8A.12
NM_001129086	chrI	912440	926562	Y95B8A.12
NM_001129085	chrI	912440	926562	Y95B8A.12
NM_001129084	chrI	912440	926877	Y95B8A.12
NM_001037904	chrI	912440	919137	Y95B8A.12
NM_001037903	chrI	912440	919137	Y95B8A.12
NM_001026318	chrI	128697	133582	mex-3
NR_070220	chrI	261920	477900	T26H2.15
NM_058504	chrI	1834888	1835394	rpl-27
NM_058465	chrI	1567608	1579280	src-1
NM_058439	chrI	1305574	1328151	dapk-1
NM_058428	chrI	1176474	1189366	smg-2
NM_058483	chrI	1702122	1707890	Y71G12B.13
NM_001306492	chrI	1570439	1579280	src-1
NM_001306491	chrI	1567608	1579280	src-1
NM_001306486	chrI	1308010	1328151	dapk-1
NM_058588	chrI	2489983	2497261	Y23H5B.6
NM_058610	chrI	2620658	2621734	Y23H5A.3
NM_001306399	chrI	2223352	2233099	gcy-17
NM_001306398	chrI	2223352	2233099	gcy-17
NM_001306392	chrI	2358419	2372929	nekl-1
NM_001306391	chrI	2357882	2372929	nekl-1
NR_131356	chrI	2358416	2372929	nekl-1
NR_131355	chrI	2357882	2372929	nekl-1
NM_058829	chrI	3799204	3803104	unc-11
NM_058828	chrI	3799204	3805704	unc-11
NM_058827	chrI	3799204	3805704	unc-11
NM_058826	chrI	3799204	3805704	unc-11
NM_058796	chrI	3667123	3671661	smp-2
NM_058736	chrI	3269572	3277655	pqn-72
NM_001313514	chrI	3269572	3277656	pqn-72
NM_001313513	chrI	3269572	3277656	pqn-72
NM_001129055	chrI	3269572	3277655	pqn-72
NM_001025845	chrI	3799204	3805704	unc-11
NM_001025844	chrI	3799170	3805704	unc-11
NM_001025843	chrI	3799204	3805704	unc-11
NM_001025819	chrI	4035892	4084507	unc-89
NM_001025818	chrI	4035892	4090427	unc-89
NM_001025817	chrI	4035892	4078127	unc-89
NM_001025814	chrI	4035892	4090427	unc-89
NM_001025813	chrI	4035892	4078127	unc-89
NM_001025897	chrI	4586273	4589356	D1007.10
NM_059090	chrI	4980329	4983520	snf-1
NM_058973	chrI	4451504	4456805	eri-7
NM_059063	chrI	4848424	4850548	pdxk-1
NM_059062	chrI	4849069	4850548	pdxk-1
NM_059122	chrI	5111375	5113738	Y110A7A.15
NM_058952	chrI	4321094	4358872	anc-1
NM_059032	chrI	4717622	4719575	W09C3.1
NM_001262804	chrI	4849069	4850548	pdxk-1
NM_182025	chrI	5373408	5376317	pqn-44
NM_171837	chrI	5627825	5637496	F46F11.1
NM_170868	chrI	5627825	5637496	F46F11.1
NM_170865	chrI	5373408	5384469	pqn-44
NM_059340	chrI	6028487	6033364	vps-34
NM_059375	chrI	6160079	6161665	T09B4.7
