Gene name	Chromosome/scaffold name	Strand direction	Transcript	Intron/Exon	Intron/Exon number	Start (bp)	End (bp)	Length
CaMKII	chr4	Rev	NM_001272154	Intron	15	1037423	1037475	53
CaMKII	chr4	Rev	NM_001272154	Intron	14	1037570	1037645	76
CaMKII	chr4	Rev	NM_001272154	Intron	13	1037741	1038358	618
CaMKII	chr4	Rev	NM_001272154	Intron	12	1038435	1040012	1578
CaMKII	chr4	Rev	NM_001272154	Intron	11	1040079	1043467	3389
CaMKII	chr4	Rev	NM_001272154	Intron	10	1043522	1045155	1634
CaMKII	chr4	Rev	NM_001272154	Intron	9	1045249	1047263	2015
CaMKII	chr4	Rev	NM_001272154	Intron	8	1047391	1047452	62
CaMKII	chr4	Rev	NM_001272154	Intron	7	1047576	1047634	59
CaMKII	chr4	Rev	NM_001272154	Intron	6	1047730	1047822	93
CaMKII	chr4	Rev	NM_001272154	Intron	5	1048149	1048503	355
CaMKII	chr4	Rev	NM_001272154	Intron	4	1048559	1049186	628
CaMKII	chr4	Rev	NM_001272154	Intron	3	1049247	1050297	1051
CaMKII	chr4	Rev	NM_001272154	Intron	2	1050393	1050454	62
CaMKII	chr4	Rev	NM_001272154	Intron	1	1050610	1053497	2888
MED26	chr4	Rev	NM_166791	Intron	5	781670	783173	1504
MED26	chr4	Rev	NM_166791	Intron	4	783246	783301	56
MED26	chr4	Rev	NM_166791	Intron	3	783938	786191	2254
MED26	chr4	Rev	NM_166791	Intron	2	787027	787080	54
MED26	chr4	Rev	NM_166791	Intron	1	787210	788894	1685
dati	chr4	Rev	NM_001258492	Intron	9	376632	377093	462
dati	chr4	Rev	NM_001258492	Intron	8	377670	377757	88
dati	chr4	Rev	NM_001258492	Intron	7	377826	377884	59
dati	chr4	Rev	NM_001258492	Intron	6	378203	378395	193
dati	chr4	Rev	NM_001258492	Intron	5	378562	378715	154
dati	chr4	Rev	NM_001258492	Intron	4	378901	382122	3222
dati	chr4	Rev	NM_001258492	Intron	3	382409	386906	4498
dati	chr4	Rev	NM_001258492	Intron	2	386985	390424	3440
dati	chr4	Rev	NM_001258492	Intron	1	391545	393861	2317
pho	chr4	Rev	NM_166827	Intron	6	1173031	1173083	53
Ank	chr4	Rev	NM_001169348	Intron	11	115203	115257	55
Ank	chr4	Rev	NM_001169348	Intron	10	116005	116685	681
Ank	chr4	Rev	NM_001169348	Intron	9	118502	118554	53
Ank	chr4	Rev	NM_001169348	Intron	8	118780	118837	58
Ank	chr4	Rev	NM_001169348	Intron	7	118932	119887	956
Ank	chr4	Rev	NM_001169348	Intron	6	120213	120857	645
Ank	chr4	Rev	NM_001169348	Intron	5	121800	121852	53
Ank	chr4	Rev	NM_001169348	Intron	4	121957	122308	352
Ank	chr4	Rev	NM_001169348	Intron	3	123423	123784	362
Ank	chr4	Rev	NM_001169348	Intron	2	123893	129321	5429
Ank	chr4	Rev	NM_001169348	Intron	1	129443	129797	355
pho	chr4	Rev	NM_166827	Intron	5	1173204	1173805	602
pho	chr4	Rev	NM_166827	Intron	4	1174098	1174158	61
pho	chr4	Rev	NM_166827	Intron	3	1174929	1174981	53
pho	chr4	Rev	NM_166827	Intron	2	1175124	1181047	5924
RpS3A	chr4	Rev	NM_001258475	Intron	3	65522	65999	478
