#name	chrom	txStart	txEnd	name2
NM_001169362	chr4	1037154	1051378	CaMKII
NM_001169361	chr4	1035287	1051378	CaMKII
NM_001169360	chr4	1037154	1051378	CaMKII
NM_001272155	chr4	1035287	1053703	CaMKII
NM_001272154	chr4	1035287	1053703	CaMKII
NM_001272153	chr4	1035287	1053703	CaMKII
NM_001014696	chr4	1035287	1053703	CaMKII
NM_166813	chr4	1035287	1053703	CaMKII
NM_166812	chr4	1035287	1053703	CaMKII
NM_166811	chr4	1035287	1051378	CaMKII
NM_166810	chr4	1035287	1051378	CaMKII
NM_079896	chr4	1035287	1053703	CaMKII
NM_001038713	chr4	254996	262519	RhoGAP102A
NM_001103382	chr4	915296	930715	eIF4G
NM_001144385	chr4	915296	930715	eIF4G
NM_001272130	chr4	501809	538373	zfh2
NM_001272121	chr4	254996	265075	RhoGAP102A
NM_001014691	chr4	649970	660608	gw
NM_205874	chr4	375639	393410	dati
NM_166791	chr4	778515	788978	MED26
NM_166785	chr4	649970	659983	gw
NM_166784	chr4	649970	659983	gw
NM_166783	chr4	649040	663103	gw
NM_166781	chr4	649970	660608	gw
NM_166780	chr4	649970	659983	gw
NM_166758	chr4	375639	393410	dati
NM_143679	chr4	778515	787614	MED26
NM_143657	chr4	254996	262667	RhoGAP102A
NM_079901	chr4	915296	930715	eIF4G
NM_079884	chr4	501809	539792	zfh2
NM_001258496	chr4	501809	540874	zfh2
NM_001258492	chr4	375639	395605	dati
NM_001258487	chr4	254996	265574	RhoGAP102A
NM_166827	chr4	1172468	1181628	pho
NM_079891	chr4	1172468	1181628	pho
NM_001038709	chr4	69325	101419	pan
NM_001169348	chr4	115073	129849	Ank
NM_001110622	chr4	878	5039	JYalpha
NM_001014685	chr4	69325	109770	pan
NM_175928	chr4	116388	129754	Ank
NM_175927	chr4	116388	129754	Ank
NM_175926	chr4	116388	129452	Ank
NM_166724	chr4	90354	110059	pan
NM_166723	chr4	69325	108694	pan
NM_166720	chr4	70404	110059	pan
NM_166718	chr4	69652	110059	pan
NM_166714	chr4	66196	67207	RpS3A
NM_079879	chr4	66196	67207	RpS3A
NM_079880	chr4	69325	108694	pan
NM_079878	chr4	47709	56331	ci
NM_079877	chr4	32811	43778	PlexB
NM_001258477	chr4	69652	114270	pan
NM_001258476	chr4	69325	110059	pan
NM_001258475	chr4	65224	67207	RpS3A
NM_001258473	chr4	47709	57041	ci
NM_001258472	chr4	47709	56331	ci
NM_001258471	chr4	32477	43778	PlexB
NR_123742	chr4	44773	46074	CR44440
NR_123741	chr4	42773	43374	CR45124
NR_073613	chr4	65576	65645	snoRNA:CD-24
NR_073612	chr4	56496	60974	CR43957
NR_073611	chr4	56496	63124	CR43957
NM_001038712	chr4	166544	175140	CG33978
NM_001103381	chr4	247123	253329	dpr7
NM_001103380	chr4	247123	253329	dpr7
NM_001103379	chr4	132219	143123	CG32000
NM_001169352	chr4	231425	245903	CG1674
NM_001169351	chr4	231425	245903	CG1674
NM_001169350	chr4	231849	245903	CG1674
NM_001272120	chr4	231425	245903	CG1674
NM_001272118	chr4	177437	179389	Arl4
NM_001272117	chr4	157574	175140	CG33978
NM_001272116	chr4	157574	175140	CG33978
NM_001272115	chr4	157574	175639	CG33978
NM_001272114	chr4	134765	143123	CG32000
NM_205866	chr4	231425	241318	CG1674
NM_205865	chr4	132219	143123	CG32000
NM_166747	chr4	231425	245903	CG1674
NM_166746	chr4	231425	245903	CG1674
NM_166745	chr4	215008	225956	CG31999
NM_166744	chr4	210223	213165	Crk
NM_166743	chr4	210223	213165	Crk
NM_166742	chr4	197691	205945	CG31998
NM_166740	chr4	184224	193489	CG2316
NM_166738	chr4	184224	193829	CG2316
NM_166737	chr4	184224	193829	CG2316
NM_166736	chr4	184075	193829	CG2316
NM_166735	chr4	154716	156060	CG31997
NM_166734	chr4	150763	153538	CG32006
NM_166733	chr4	132219	140083	CG32000
NM_166732	chr4	136271	143123	CG32000
NM_166731	chr4	136271	140083	CG32000
NM_166730	chr4	136271	143123	CG32000
NM_166729	chr4	132219	140083	CG32000
NM_166728	chr4	132219	140083	CG32000
NM_143656	chr4	230729	245903	CG1674
NM_143655	chr4	227921	230428	yellow-h
NM_143651	chr4	210223	213165	Crk
NM_143649	chr4	184224	193489	CG2316
NM_143648	chr4	177437	179389	Arl4
NM_001297783	chr4	215008	227748	CG31999
NM_001297782	chr4	210223	213165	Crk
NM_001297781	chr4	210223	213165	Crk
NM_001297780	chr4	154653	156060	CG31997
NM_001258485	chr4	231425	245903	CG1674
NM_001258484	chr4	231425	245903	CG1674
NM_001258483	chr4	210223	213165	Crk
NM_001258482	chr4	210223	213165	Crk
NM_001258481	chr4	196674	205945	CG31998
NM_001258480	chr4	184224	189587	CG2316
NM_001258479	chr4	177347	179389	Arl4
NM_001258478	chr4	166544	175639	CG33978
NR_123744	chr4	194731	195900	CR44441
NR_123743	chr4	175454	175874	CR45198
NR_073614	chr4	132673	132874	CR43956
NR_133502	chr4	228575	229112	CR46065
NM_001038714	chr4	328815	358657	PMCA
NM_001144383	chr4	310929	314087	Zip102B
NM_001201589	chr4	329516	358657	PMCA
NM_001201588	chr4	328815	358657	PMCA
NM_001201587	chr4	328192	358657	PMCA
NM_001201586	chr4	328815	358657	PMCA
NM_001201585	chr4	328815	358917	PMCA
NM_001272124	chr4	314922	331387	CG32850
NM_001272123	chr4	308092	310822	Rad23
NM_001272122	chr4	268174	276369	NfI
NM_001014689	chr4	330855	358657	PMCA
NM_001014688	chr4	328815	358657	PMCA
NM_001014687	chr4	334669	358657	PMCA
NM_205873	chr4	359937	375554	Hcf
NM_205872	chr4	310929	313913	Zip102B
NM_205871	chr4	278684	305818	Syt7
NM_205870	chr4	268313	276369	NfI
NM_166757	chr4	359937	372784	Hcf
NM_166756	chr4	359937	374973	Hcf
NM_166755	chr4	328815	358657	PMCA
NM_166754	chr4	328815	358657	PMCA
NM_166753	chr4	314922	321385	CG32850
NM_166752	chr4	308092	310302	Rad23
NM_166751	chr4	278684	305818	Syt7
NM_166749	chr4	278684	306481	Syt7
NM_166748	chr4	278684	305818	Syt7
NM_143662	chr4	310929	313913	Zip102B
NM_143661	chr4	308092	310302	Rad23
NM_079882	chr4	359937	372784	Hcf
NM_001297784	chr4	310929	314087	Zip102B
NM_001258493	chr4	375639	388322	dati
NM_001258491	chr4	359937	372784	Hcf
NM_001258488	chr4	278684	306161	Syt7
NR_123745	chr4	380723	381275	CR45125
NR_073615	chr4	276522	278174	CR44023
NM_001272129	chr4	472894	483803	Asator
NM_001272128	chr4	472894	486033	Asator
NM_001272127	chr4	469408	486033	Asator
NM_001272126	chr4	471285	482720	Asator
NM_001272125	chr4	472894	481970	Asator
NM_166766	chr4	471285	483803	Asator
NM_166765	chr4	472894	481970	Asator
NM_166764	chr4	445503	453947	CaMKI
NM_166761	chr4	446092	453947	CaMKI
NM_166759	chr4	446577	453947	CaMKI
NM_166760	chr4	446092	453947	CaMKI
NM_143667	chr4	471285	481970	Asator
NM_143666	chr4	459886	466828	bip2
NM_143665	chr4	436956	443911	lgs
NM_079883	chr4	445503	453947	CaMKI
NM_001297785	chr4	472894	488994	Asator
NR_123746	chr4	459767	461413	CR45126
NR_073617	chr4	427330	431769	CR44024
NR_073616	chr4	395395	395954	CR44027
NR_047708	chr4	426066	426601	CR43437
NM_001347760	chr4	467496	471476	CG33941
NR_144673	chr4	400702	400765	mir-9385
NM_001042786	chr4	636130	646556	Ekar
NM_001042785	chr4	636130	646556	Ekar
NM_001169353	chr4	610683	620734	Eph
NM_001272136	chr4	598554	607649	onecut
NM_001272135	chr4	568295	571554	ND-49
NM_001272134	chr4	558222	567257	Pur-alpha
NM_001272133	chr4	558222	565931	Pur-alpha
NM_001272132	chr4	559663	567257	Pur-alpha
NM_001272131	chr4	540559	557854	Thd1
NM_166779	chr4	629692	635350	Gat
NM_166777	chr4	610683	620926	Eph
NM_166776	chr4	610683	622470	Eph
NM_166775	chr4	610683	620926	Eph
NM_166774	chr4	610683	620351	Eph
NM_166773	chr4	583107	589348	CG1909
NM_166771	chr4	571754	580122	Ephrin
NM_166770	chr4	571754	578143	Ephrin
NM_166769	chr4	558222	567257	Pur-alpha
NM_166768	chr4	558222	565931	Pur-alpha
NM_166767	chr4	558015	565931	Pur-alpha
NM_143674	chr4	636130	646556	Ekar
NM_143673	chr4	629690	635350	Gat
NM_143671	chr4	583107	589348	CG1909
NM_143670	chr4	571754	578143	Ephrin
NM_143669	chr4	568295	570790	ND-49
NM_143668	chr4	545267	557854	Thd1
NM_079887	chr4	623218	626031	mav
NM_079886	chr4	610683	620926	Eph
NM_079885	chr4	558015	565931	Pur-alpha
NM_080103	chr4	598554	607649	onecut
NM_001297786	chr4	538331	557854	Thd1
NR_123747	chr4	597623	598274	CR45199
NR_073619	chr4	557024	557854	CR43958
NR_047709	chr4	626125	626212	mir-954
NM_001169354	chr4	724399	776081	bt
NM_001272143	chr4	724399	776474	bt
NM_001272142	chr4	725657	776081	bt
NM_001272141	chr4	671141	687565	CG11360
NM_001272140	chr4	680269	687565	CG11360
NM_001272139	chr4	671141	690650	CG11360
NM_001272138	chr4	663620	669884	Slip1
NM_001272137	chr4	663620	669884	Slip1
NM_001014694	chr4	707428	721173	ey
NM_001014693	chr4	704650	721173	ey
NM_205876	chr4	724399	776081	bt
NM_166789	chr4	697688	721173	ey
NM_166788	chr4	690685	696055	myo
NM_166787	chr4	691600	696055	myo
NM_166786	chr4	691277	696055	myo
NM_143677	chr4	680592	689595	CG11360
NM_143676	chr4	663620	669884	Slip1
NM_079889	chr4	704650	721173	ey
NM_001297787	chr4	725355	776081	bt
NR_123748	chr4	776474	777146	CR45200
NM_001169357	chr4	853556	867025	Gyf
NM_001169356	chr4	855399	867025	Gyf
NM_001272146	chr4	870929	904821	unc-13
NM_001272145	chr4	800435	807347	Sox102F
NM_001272144	chr4	800435	804080	Sox102F
NM_001014695	chr4	800435	834393	Sox102F
NM_205878	chr4	855399	867025	Gyf
NM_166794	chr4	870929	893565	unc-13
NM_166793	chr4	870929	904821	unc-13
NM_166792	chr4	800435	807347	Sox102F
NM_143694	chr4	836985	844529	fd102C
NM_143693	chr4	855399	867025	Gyf
NM_143692	chr4	870929	904821	unc-13
NM_001297788	chr4	870929	912331	unc-13
NM_001258498	chr4	870929	893565	unc-13
NM_001258497	chr4	867823	904026	unc-13
NR_123750	chr4	879373	884752	CR44029
NR_123749	chr4	851173	851624	CR45123
NR_073620	chr4	881470	883396	CR44029
NR_047711	chr4	867823	871426	CR43425
NM_001169359	chr4	962340	969374	fuss
NM_001169358	chr4	962340	978489	fuss
NM_001272152	chr4	1031483	1034557	ATPsynbeta
NM_001272151	chr4	989724	1007922	toy
NM_001272150	chr4	962340	976035	fuss
NM_001272149	chr4	951541	958170	4E-T
NM_001272148	chr4	936818	944486	mGluR
NM_001272147	chr4	936818	949441	mGluR
NM_166808	chr4	1031863	1034557	ATPsynbeta
NM_166798	chr4	951541	958392	4E-T
NM_166807	chr4	1029710	1030975	CG11076
NM_166797	chr4	951541	958392	4E-T
NM_166796	chr4	951541	958392	4E-T
NM_166805	chr4	1013632	1027101	PlexA
NM_166804	chr4	1013403	1027101	PlexA
NM_143687	chr4	1028674	1029361	CG11077
NM_143686	chr4	1029710	1031676	CG11076
NM_079899	chr4	989724	1006288	toy
NM_079898	chr4	1013403	1027101	PlexA
NM_079900	chr4	936818	946825	mGluR
NM_001297790	chr4	1031863	1034917	ATPsynbeta
NM_001297789	chr4	936818	946825	mGluR
NM_001258499	chr4	1009894	1027101	PlexA
NM_001258500	chr4	1029710	1031757	CG11076
NR_123752	chr4	959674	962692	CR44030
NR_123751	chr4	959223	959434	CR45201
NR_073625	chr4	1028280	1029359	CR44031
NR_073624	chr4	1027862	1029359	CR44031
NR_073623	chr4	976794	977261	sphinx
NR_073622	chr4	959674	962692	CR44030
NR_073621	chr4	959674	962692	CR44030
NR_003115	chr4	975167	975810	sphinx
NR_003114	chr4	975167	977261	sphinx
NR_003113	chr4	975167	977261	sphinx
NM_001169364	chr4	1137829	1146529	CG32017
NM_001169363	chr4	1098524	1113317	sv
NM_001272158	chr4	1124166	1125113	Arf102F
NM_001272157	chr4	1115254	1123357	Cals
NM_001272156	chr4	1064905	1077273	apolpp
NM_001014699	chr4	1088797	1110974	sv
NM_001014698	chr4	1088797	1110974	sv
NM_001014697	chr4	1088797	1113317	sv
NM_001014701	chr4	1088797	1113317	sv
NM_166826	chr4	1137829	1146121	CG32017
NM_166825	chr4	1126601	1137919	CG11155
NM_166824	chr4	1126601	1135094	CG11155
NM_166823	chr4	1115078	1122965	Cals
NM_166822	chr4	1088797	1113317	sv
NM_166819	chr4	1057364	1065001	Zyx
NM_166816	chr4	1057364	1060918	Zyx
NM_166815	chr4	1057364	1060918	Zyx
NM_143758	chr4	1057364	1060918	Zyx
NM_143685	chr4	1077330	1084796	Actbeta
NM_143684	chr4	1126601	1135914	CG11155
NM_143682	chr4	1147465	1169239	Kif3C
NM_079895	chr4	1064905	1076204	apolpp
NM_079894	chr4	1088797	1113317	sv
NM_079893	chr4	1115254	1123357	Cals
NM_079892	chr4	1124166	1125325	Arf102F
NM_001297794	chr4	1137829	1162158	CG32017
NM_001297793	chr4	1112873	1122965	Cals
NM_001297792	chr4	1062677	1076204	apolpp
NM_001297791	chr4	1060968	1076204	apolpp
NM_001258501	chr4	1057364	1065001	Zyx
NM_001038725	chr4	1225088	1230713	Dyrk3
NM_001038723	chr4	1225736	1230713	Dyrk3
NM_001038721	chr4	1225736	1230713	Dyrk3
NM_001038719	chr4	1198851	1224467	Mitf
NM_001038718	chr4	1198857	1223450	Mitf
NM_001038717	chr4	1192418	1196848	PIP4K
NM_001038716	chr4	1192418	1196848	PIP4K
