Gene name	Chromosome/scaffold name	Strand direction	Transcript	Intron/Exon	Intron/Exon number	Start (bp)	End (bp)	Length
CG15199	chrX	Rev	NM_132461	Exon	3	11140474	11140728	255
CG15199	chrX	Rev	NM_132461	Exon	2	11140790	11141168	379
CG15199	chrX	Rev	NM_132461	Exon	1	11141806	11141835	30
CG42339	chrX	Rev	NM_132446	Exon	6	10967722	10969297	1576
CG42339	chrX	Rev	NM_132446	Exon	5	10969392	10969468	77
CG42339	chrX	Rev	NM_132446	Exon	4	10977716	10977836	121
CG42339	chrX	Rev	NM_132446	Exon	3	10983697	10983891	195
CG42339	chrX	Rev	NM_132446	Exon	2	11037475	11037762	288
CG42339	chrX	Rev	NM_132446	Exon	1	11039805	11039901	97
CG10362	chrX	Rev	NM_132543	Exon	8	11926424	11926937	514
CG10362	chrX	Rev	NM_132543	Exon	7	11927010	11927256	247
CG10362	chrX	Rev	NM_132543	Exon	6	11927322	11927954	633
CG10362	chrX	Rev	NM_132543	Exon	5	11928009	11928158	150
CG10362	chrX	Rev	NM_132543	Exon	4	11928233	11929508	1276
CG10362	chrX	Rev	NM_132543	Exon	3	11929712	11929904	193
CG10362	chrX	Rev	NM_132543	Exon	2	11930021	11930281	261
CG10362	chrX	Rev	NM_132543	Exon	1	11930349	11930850	502
Pde9	chrX	Rev	NM_001272567	Exon	10	12785563	12792963	7401
Pde9	chrX	Rev	NM_001272567	Exon	9	12793577	12794012	436
CG43313	chrX	Rev	NM_001298255	Exon	6	13095571	13097155	1585
CG43313	chrX	Rev	NM_001298255	Exon	5	13097223	13097718	496
CG43313	chrX	Rev	NM_001298255	Exon	4	13097781	13098383	603
CG43313	chrX	Rev	NM_001298255	Exon	3	13098437	13098592	156
CG43313	chrX	Rev	NM_001298255	Exon	2	13100885	13101541	657
CG43313	chrX	Rev	NM_001298255	Exon	1	13111634	13112462	829
mamo	chrX	Rev	NM_132704	Exon	11	13846116	13854372	8257
mamo	chrX	Rev	NM_132704	Exon	10	13854652	13855118	467
mamo	chrX	Rev	NM_132704	Exon	9	13855235	13856759	1525
mamo	chrX	Rev	NM_132704	Exon	8	13856982	13857148	167
mamo	chrX	Rev	NM_132704	Exon	7	13883236	13883364	129
mamo	chrX	Rev	NM_132704	Exon	6	13883459	13885225	1767
mamo	chrX	Rev	NM_132704	Exon	5	13885309	13885500	192
mamo	chrX	Rev	NM_132704	Exon	4	13901483	13901643	161
CG15642	chrX	Rev	NM_001298343	Exon	2	15466184	15467267	1084
CG15642	chrX	Rev	NM_001298343	Exon	1	15467353	15467757	405
rut	chrX	Rev	NM_078601	Exon	18	14787478	14790112	2635
rut	chrX	Rev	NM_078601	Exon	17	14790181	14790878	698
rut	chrX	Rev	NM_078601	Exon	16	14791248	14792428	1181
rut	chrX	Rev	NM_078601	Exon	15	14793126	14794152	1027
rut	chrX	Rev	NM_078601	Exon	14	14794215	14794389	175
rut	chrX	Rev	NM_078601	Exon	13	14794461	14794827	367
rut	chrX	Rev	NM_078601	Exon	12	14794961	14795201	241
rut	chrX	Rev	NM_078601	Exon	11	14795275	14795385	111
rut	chrX	Rev	NM_078601	Exon	10	14795446	14795585	140
rut	chrX	Rev	NM_078601	Exon	9	14795649	14796122	474
rut	chrX	Rev	NM_078601	Exon	8	14797292	14797522	231
rut	chrX	Rev	NM_078601	Exon	7	14798875	14799165	291
rut	chrX	Rev	NM_078601	Exon	6	14799281	14799584	304
rut	chrX	Rev	NM_078601	Exon	5	14799950	14800077	128
rut	chrX	Rev	NM_078601	Exon	4	14800151	14800885	735
rut	chrX	Rev	NM_078601	Exon	3	14801143	14801422	280
rut	chrX	Rev	NM_078601	Exon	2	14824789	14824927	139
Lsd-2	chrX	Rev	NM_001298333	Exon	6	15069127	15069620	494
Lsd-2	chrX	Rev	NM_001298333	Exon	5	15069689	15072648	2960
Lsd-2	chrX	Rev	NM_001298333	Exon	4	15072786	15072967	182
Lsd-2	chrX	Rev	NM_001298333	Exon	3	15073341	15073391	51
Lsd-2	chrX	Rev	NM_001298333	Exon	2	15073937	15074374	438
Lsd-2	chrX	Rev	NM_001298333	Exon	1	15075748	15076220	473
pdgy	chrX	Rev	NM_001298328	Exon	7	14934040	14935272	1233
pdgy	chrX	Rev	NM_001298328	Exon	6	14935331	14935445	115
pdgy	chrX	Rev	NM_001298328	Exon	5	14935876	14936418	543
pdgy	chrX	Rev	NM_001298328	Exon	4	14946271	14946481	211
pdgy	chrX	Rev	NM_001298328	Exon	3	14950318	14950866	549
pdgy	chrX	Rev	NM_001298328	Exon	2	14951103	14951211	109
pdgy	chrX	Rev	NM_001298328	Exon	1	14953513	14953532	20
CG46312	chrX	Rev	NM_001347790	Exon	7	15987166	15987989	824
CG46312	chrX	Rev	NM_001347790	Exon	6	15988068	15988544	477
CG46312	chrX	Rev	NM_001347790	Exon	5	15988617	15989268	652
CG46312	chrX	Rev	NM_001347790	Exon	4	15989392	15989476	85
CG46312	chrX	Rev	NM_001347790	Exon	3	15989854	15989950	97
CG46312	chrX	Rev	NM_001347790	Exon	2	15991083	15991382	300
CG46312	chrX	Rev	NM_001347790	Exon	1	15991822	15991974	153
CG12994	chrX	Rev	NM_144231	Exon	3	17422320	17423004	685
CG12994	chrX	Rev	NM_144231	Exon	2	17423072	17423364	293
CG12994	chrX	Rev	NM_144231	Exon	1	17443808	17443994	187
CG45002	chrX	Rev	NM_001298429	Exon	10	16969069	16973381	4313
CG45002	chrX	Rev	NM_001298429	Exon	9	16973447	16973607	161
CG45002	chrX	Rev	NM_001298429	Exon	8	16973666	16973860	195
CG45002	chrX	Rev	NM_001298429	Exon	7	16973987	16975153	1167
CG45002	chrX	Rev	NM_001298429	Exon	6	16975282	16975854	573
CG45002	chrX	Rev	NM_001298429	Exon	5	16976036	16976121	86
CG45002	chrX	Rev	NM_001298429	Exon	4	16976182	16976276	95
CG45002	chrX	Rev	NM_001298429	Exon	3	16976335	16976548	214
CG45002	chrX	Rev	NM_001298429	Exon	2	17049353	17049452	100
Fim	chrX	Rev	NM_078661	Exon	5	17285704	17286876	1173
Fim	chrX	Rev	NM_078661	Exon	4	17286937	17287190	254
Fim	chrX	Rev	NM_078661	Exon	3	17287256	17287534	279
Fim	chrX	Rev	NM_078661	Exon	2	17287927	17289037	1111
Fim	chrX	Rev	NM_078661	Exon	1	17301360	17301929	570
chas	chrX	Rev	NM_001298451	Exon	10	17672458	17674214	1757
chas	chrX	Rev	NM_001298451	Exon	9	17674279	17674938	660
chas	chrX	Rev	NM_001298451	Exon	8	17675312	17676557	1246
chas	chrX	Rev	NM_001298451	Exon	7	17676981	17677503	523
chas	chrX	Rev	NM_001298451	Exon	6	17684115	17684393	279
CG15040	chrX	Rev	NM_133083	Exon	6	18606610	18610354	3745
Vav	chrX	Fwd	NM_167642	Exon	1	19261820	19262593	774
CG14223	chrX	Rev	NM_134497	Exon	3	19659442	19660598	1157
CG14223	chrX	Rev	NM_134497	Exon	2	19660664	19661608	945
CG14223	chrX	Rev	NM_134497	Exon	1	19663619	19663971	353
CG8010	chrX	Rev	NM_133145	Exon	4	19266656	19267251	596
CG8010	chrX	Rev	NM_133145	Exon	3	19267318	19268040	723
CG8010	chrX	Rev	NM_133145	Exon	2	19268505	19268598	94
CG8010	chrX	Rev	NM_133145	Exon	1	19268677	19268896	220
CG1504	chrX	Rev	NM_001272814	Exon	5	20302015	20304188	2174
CG1504	chrX	Rev	NM_001272814	Exon	4	20310278	20311463	1186
CG1504	chrX	Rev	NM_001272814	Exon	3	20315310	20315949	640
CG1504	chrX	Rev	NM_001272814	Exon	2	20329163	20329542	380
CG1504	chrX	Rev	NM_001272814	Exon	1	20330118	20330372	255
CG32521	chrX	Rev	NM_167735	Exon	5	21205310	21206584	1275
CG32521	chrX	Rev	NM_167735	Exon	4	21211080	21211274	195
CG32521	chrX	Rev	NM_167735	Exon	3	21211687	21211799	113
CG32521	chrX	Rev	NM_167735	Exon	2	21223580	21223647	68
CG32521	chrX	Rev	NM_167735	Exon	1	21281042	21281171	130
DIP1	chrX	Rev	NM_167773	Exon	5	21624796	21626252	1457
DIP1	chrX	Rev	NM_167773	Exon	4	21626313	21626890	578
CG17636	chrX	Rev	NM_001258512	Exon	4	124370	125409	1040
CG17636	chrX	Rev	NM_001258512	Exon	3	125495	126259	765
CG17636	chrX	Rev	NM_001258512	Exon	2	126355	126496	142
CG17636	chrX	Rev	NM_001258512	Exon	1	126626	126714	89
CG17707	chrX	Rev	NM_001297802	Exon	11	142731	143487	757
CG17707	chrX	Rev	NM_001297802	Exon	10	144335	144504	170
CG17707	chrX	Rev	NM_001297802	Exon	9	144561	144755	195
CG17707	chrX	Rev	NM_001297802	Exon	8	144818	145074	257
CG17707	chrX	Rev	NM_001297802	Exon	7	145135	145233	99
CG17707	chrX	Rev	NM_001297802	Exon	6	145300	145379	80
CG17707	chrX	Rev	NM_001297802	Exon	5	145456	145853	398
CG17707	chrX	Rev	NM_001297802	Exon	4	145914	146122	209
CG17707	chrX	Rev	NM_001297802	Exon	3	146189	146367	179
CG17707	chrX	Rev	NM_001297802	Exon	2	146435	147785	1351
CG17707	chrX	Rev	NM_001297802	Exon	1	148334	148426	93
CG3038	chrX	Rev	NM_001297803	Exon	3	243954	245009	1056
CG3038	chrX	Rev	NM_001297803	Exon	2	245097	245346	250
CG3038	chrX	Rev	NM_001297803	Exon	1	245412	245856	445
CG13375	chrX	Rev	NM_001169157	Exon	6	283186	286891	3706
CG13375	chrX	Rev	NM_001169157	Exon	5	286949	287041	93
CG13375	chrX	Rev	NM_001169157	Exon	4	287329	287526	198
CG13375	chrX	Rev	NM_001169157	Exon	3	289041	289272	232
CG13375	chrX	Rev	NM_001169157	Exon	2	290253	290596	344
CG13375	chrX	Rev	NM_001169157	Exon	1	294713	294962	250
CG13376	chrX	Rev	NM_001272161	Exon	2	265724	266841	1118
CG13376	chrX	Rev	NM_001272161	Exon	1	266958	267028	71
CG17896	chrX	Rev	NM_130489	Exon	2	490787	492628	1842
CG17896	chrX	Rev	NM_130489	Exon	1	493388	493495	108
CG18273	chrX	Rev	NM_130487	Exon	6	482777	483045	269
CG18273	chrX	Rev	NM_130487	Exon	5	483268	483828	561
CG18273	chrX	Rev	NM_130487	Exon	4	483884	484246	363
CG18273	chrX	Rev	NM_130487	Exon	3	484310	484965	656
CG18273	chrX	Rev	NM_130487	Exon	2	485028	487403	2376
CG18273	chrX	Rev	NM_130487	Exon	1	487465	487581	117
Cyp4g1	chrX	Rev	NM_080292	Exon	1	467057	469335	2279
pcl	chrX	Rev	NM_080291	Exon	1	436139	437448	1310
