#name	chrom	txStart	txEnd	name2
NM_001309523	chr1	50325108	50347090	mdh1aa
NM_212967	chr1	16683984	16829776	fat1a
NM_001159372	chr1	41578551	42333915	ctnna2
NM_001328558	chr1	5100814	5331098	pard3ba
NM_001135971	chr1	9434343	9439786	lratb.2
NM_213105	chr1	11508922	11541317	tdrd7a
NM_001099343	chr1	11508929	11541317	tdrd7a
NM_001115058	chr1	12574320	12584285	pcdh18a
NM_001301358	chr1	20917311	21021090	zcchc7
NM_001162486	chr1	18869814	18906296	kiaa0368
NM_001080616	chr1	29279647	29506754	vps8
NM_001077559	chr1	39844744	39851536	scoca
NM_152965	chr1	37698137	37818921	glra3
NM_001130605	chr1	36693514	36720180	sparcl1
NM_001145564	chr1	49279575	49288214	cyp2u1
NM_001077556	chr1	47140386	47321023	cfap58
NM_001113805	chr1	56278122	56833288	sc:d0284
NM_001111238	chr1	54513498	54532968	mri1
NM_131243	chr1	55560377	55597430	c3a.2
NM_131564	chr1	622619	661614	appa
NM_001145612	chr1	523673	529254	si:ch73-41e3.7
NM_173228	chr1	127257	134079	f7i
NM_131686	chr1	1564374	1583770	atp1a1a.1
NM_001161670	chr1	1953746	2068591	mbnl2
NM_001161671	chr1	1953746	2068591	mbnl2
NM_001161669	chr1	1953746	2068591	mbnl2
NM_001099998	chr1	1953746	2068591	mbnl2
NM_001302236	chr1	2747369	2875169	gpc5a
NM_001109719	chr1	2565161	2704973	gpc6a
NM_200691	chr1	4704678	4721311	tuba8l2
NM_212965	chr1	4908654	5048297	nrp2a
NM_001020643	chr1	5705570	5796397	klf7a
NM_001143751	chr1	6133577	6241401	erbb4a
NM_001080014	chr1	5492177	5512940	retreg2
NM_001102569	chr1	7163644	7210144	radil
NM_001039066	chr1	7989962	8007810	abcg2b
NM_001013300	chr1	7855798	7869180	zgc:112980
NM_001320491	chr1	7731871	7744649	syngr3b
NM_001110102	chr1	8514926	8543090	chtf18
NM_001312897	chr1	8775907	8802018	micall2b
NR_132439	chr1	8775898	8801969	micall2b
NM_001044827	chr1	9825465	9936234	trpc5a
NM_001326687	chr1	10140239	10391294	dmd
NM_152956	chr1	9694596	9764519	dachb
NM_001327747	chr1	9801981	9893834	trpc5a
NM_001079986	chr1	11215778	11286541	grk4
NM_200471	chr1	11381999	11411007	xpa
NM_001037387	chr1	11098844	11163318	ttyh3b
NM_213045	chr1	11661458	11675130	clta
NM_001002542	chr1	13476963	13547563	camk2d2
NR_002876	chr1	13745540	13767921	slc34a2aas
NM_001020560	chr1	15387373	15527298	tusc3
NM_001017793	chr1	15982326	15996028	frg1
NM_001024376	chr1	17028915	17042926	pdlim3a
NM_001170942	chr1	17670895	17753224	klhl5
NM_131393	chr1	17558400	17643941	mtnr1aa
NM_001166048	chr1	18430672	18522399	ptprdb
NM_212886	chr1	18086230	18110982	pgm2
NM_001145577	chr1	18272812	18373390	limch1a
NM_178295	chr1	18741260	18773516	clockb
NM_131010	chr1	20040164	20133086	tll1
